StatusDetail,ProjectName,VerseCount
Complete,Matthew 1:1-17,17
Complete,Matthew 1:18-25,8
Complete,Matthew 2:1-15,15
Complete,Matthew 2:16-23,8
Complete,Matthew 3:1-17,17
Complete,Matthew 4:12-25,14
Complete,Matthew 4:1-11,11
Complete,Matthew 5:21-48,28
Complete,Matthew 5:1-20,20
Complete,Matthew 6:1-15,15
Complete,Matthew 6:16-34,19
Complete,Matthew 7:1-14,14
Complete,Matthew 7:15-29,15
Complete,Matthew 8:1-17,17
Complete,Matthew 8:18-34,17
Complete,Matthew 9:1-17,17
Complete,Matthew 9:18-38,21
Complete,Matthew 10:1-24,24
Complete,Matthew 10:25-42,18
Complete,Matthew 11:1-19,19
Complete,Matthew 11:20-30,11
Complete,Matthew 12:22-50,29
Complete,Matthew 12:1-21,21
Complete,Matthew 13:24-58,35
Complete,Matthew 13:1-23,23
Complete,Matthew 14,36
Complete,Matthew 15,39
Complete,Matthew 16,28
Complete,Matthew 17,27
Complete,Matthew 18,35
Complete,Matthew 19,30
Complete,Matthew 20,34
Complete,Matthew 21,46
Complete,Matthew 22,46
Complete,Matthew 23,39
Complete,Matthew 24,51
Complete,Matthew 25,46
Complete,Matthew 26,75
Complete,Matthew 27,66
Complete,Matthew 28,20
Complete,Mark 1:29-45,17
Complete,Mark 1:1-13,13
Complete,Mark 1:14-28,15
Complete,Mark 2:18-28,11
Complete,Mark 2:1-17,17
Complete,Mark 3:20-35,16
Complete,Mark 3:1-19,19
Complete,Mark 4:21-41,21
Complete,Mark 4:1-20,20
Complete,Mark 5:21-43,23
Complete,Mark 5:1-20,20
Complete,Mark 6:1-13,13
Complete,Mark 6:30-56,27
Complete,Mark 6:14-29,16
Complete,Mark 7:1-23,23
Complete,Mark 7:24-37,14
Complete,Mark 8:1-21,21
Complete,Mark 8:22-38,17
Complete,Mark 9:14-29,16
Complete,Mark 9:1-13,13
Complete,Mark 9:30-50,21
Complete,Mark 10:17-31,15
Complete,Mark 10:32-52,21
Complete,Mark 10:1-16,16
Complete,Mark 11:1-14,14
Complete,Mark 11:15-33,19
Complete,Mark 12:35-44,10
Complete,Mark 12:18-34,17
Complete,Mark 12:1-17,17
Complete,Mark 13:21-37,17
Complete,Mark 13:1-20,20
Complete,Mark 14:53-72,20
Complete,Mark 14:27-52,26
Complete,Mark 14:1-26,26
Complete,Mark 15:1-20,20
Complete,Mark 15:21-47,27
Complete,Mark 16:9-20,12
Complete,Mark 16:1-8,8
Holding,Luke 1,80
Holding,Luke 2,52
Phase 3 (POLISHING),Luke 3,38
Holding,Luke 4,44
Holding,Luke 5,39
Holding,Luke 6,49
Holding,Luke 7,50
Holding,Luke 8,56
Holding,Luke 9,62
Holding,Luke 10,42
Holding,Luke 11,54
Holding,Luke 12,59
Holding,Luke 13,35
Holding,Luke 14,35
Holding,Luke 15,32
Holding,Luke 16,31
Holding,Luke 17,37
Holding,Luke 18,43
Holding,Luke 19,48
Holding,Luke 20,47
Holding,Luke 21,38
Holding,Luke 22,71
Holding,Luke 23,56
Holding,Luke 24,53
Phase 3 (POLISHING),John 1:19-34,16
Phase 3 (POLISHING),John 1:35-51,17
Phase 3 (POLISHING),John 1:1-18,18
Phase 3 (POLISHING),John 2:12-25,14
Phase 3 (POLISHING),John 2:1-11,11
Phase 3 (POLISHING),John 3:22-36,15
Phase 3 (POLISHING),John 3:1-21,21
Phase 3 (POLISHING),John 4:27-54,28
Phase 3 (POLISHING),John 4:1-26,26
Phase 3 (POLISHING),John 5:1-15,15
Phase 3 (POLISHING),John 5:16-47,32
Phase 3 (POLISHING),John 6:1-24,24
Phase 3 (POLISHING),John 6:25-59,35
Phase 3 (POLISHING),John 6:60-71,12
Phase 3 (POLISHING),John 7:1-24,24
Phase 3 (POLISHING),John 7:25-53,29
Phase 3 (POLISHING),John 8:1-30,30
Phase 3 (POLISHING),John 8:31-59,29
Phase 3 (POLISHING),John 9,41
Phase 3 (POLISHING),John 10,42
Phase 3 (POLISHING),John 11:38-57,20
Phase 3 (POLISHING),John 11:1-37,37
Phase 3 (POLISHING),John 12:1-36,36
Phase 3 (POLISHING),John 12:37-50,14
Phase 3 (POLISHING),John 13,38
Phase 3 (POLISHING),John 14:21-31,11
Phase 3 (POLISHING),John 14:11-20,10
Phase 3 (POLISHING),John 14:1-10,10
Phase 3 (POLISHING),John 15:19-27,9
Phase 3 (POLISHING),John 15:10-18,9
Phase 3 (POLISHING),John 15:1-9,9
Phase 3 (POLISHING),John 16:1-11,11
Phase 3 (POLISHING),John 16:23-33,11
Phase 3 (POLISHING),John 16:12-22,11
Phase 3 (POLISHING),John 17:21-26,6
Phase 3 (POLISHING),John 17:11-20,10
Phase 3 (POLISHING),John 17:1-10,10
Phase 3 (POLISHING),John 18:11-20,10
Phase 3 (POLISHING),John 18:21-30,10
Phase 3 (POLISHING),John 18:1-10,10
Phase 3 (POLISHING),John 18:31-40,10
Phase 3 (POLISHING),John 19:32-42,11
Phase 3 (POLISHING),John 19:11-20,10
Phase 3 (POLISHING),John 19:1-10,10
Phase 3 (POLISHING),John 19:21-31,11
Phase 3 (POLISHING),John 20:1-10,10
Phase 3 (POLISHING),John 20:21-31,11
Phase 3 (POLISHING),John 20:11-20,10
Phase 2,John 21:10-17,8
Phase 2,John 21:18-25,8
Phase 2,John 21:1-9,9
Complete,Acts 1,26
Complete,Acts 2,47
Complete,Acts 3:6-10,5
Complete,Acts 3:16-20,5
Complete,Acts 3:1-5,5
Complete,Acts 3:21-26,6
Complete,Acts 3:11-15,5
Complete,Acts 4:6-10,5
Complete,Acts 4:16-20,5
Complete,Acts 4:21-25,5
Complete,Acts 4:1-5,5
Complete,Acts 4:11-15,5
Complete,Acts 4:31-37,7
Complete,Acts 4:26-30,5
Complete,Acts 5:1-5,5
Complete,Acts 5:16-20,5
Complete,Acts 5:31-35,5
Complete,Acts 5:26-30,5
Complete,Acts 5:21-25,5
Complete,Acts 5:36-42,7
Complete,Acts 5:6-10,5
Complete,Acts 5:11-15,5
Complete,Acts 6:11-15,5
Complete,Acts 6:1-5,5
Complete,Acts 6:6-10,5
Complete,Acts 7:46-50,5
Complete,Acts 7:1-5,5
Complete,Acts 7:41-45,5
Complete,Acts 7:36-40,5
Complete,Acts 7:26-30,5
Complete,Acts 7:51-55,5
Complete,Acts 7:56-60,5
Complete,Acts 7:11-15,5
Complete,Acts 7:16-20,5
Complete,Acts 7:6-10,5
Complete,Acts 7:31-35,5
Complete,Acts 7:21-25,5
Complete,Acts 8:6-10,5
Complete,Acts 8:1-5,5
Complete,Acts 8:16-20,5
Complete,Acts 8:36-40,5
Complete,Acts 8:31-35,5
Complete,Acts 8:26-30,5
Complete,Acts 8:21-25,5
Complete,Acts 8:11-15,5
Complete,Acts 9:32-37,6
Complete,Acts 9:20-25,6
Complete,Acts 9:1-6,6
Complete,Acts 9:7-12,6
Complete,Acts 9:13-19,7
Complete,Acts 9:26-31,6
Complete,Acts 9:38-43,6
Complete,Acts 10:1-8,8
Complete,Acts 10:34-41,8
Complete,Acts 10:42-48,7
Complete,Acts 10:24-33,10
Complete,Acts 10:9-16,8
Complete,Acts 10:17-23,7
Complete,Acts 11:19-24,6
Complete,Acts 11:1-9,9
Complete,Acts 11:25-30,6
Complete,Acts 11:10-18,9
Complete,Acts 12:20-25,6
Complete,Acts 12:1-10,10
Complete,Acts 12:11-19,9
Complete,Acts 13:32-41,10
Complete,Acts 13:42-52,11
Complete,Acts 13:23-31,9
Complete,Acts 13:1-12,12
Complete,Acts 13:13-22,10
Complete,Acts 14:1-7,7
Complete,Acts 14:22-28,7
Complete,Acts 14:8-15,8
Complete,Acts 14:16-21,6
Complete,Acts 15:12-21,10
Complete,Acts 15:22-31,10
Complete,Acts 15:1-11,11
Complete,Acts 15:32-41,10
Complete,Acts 16:1-14,14
Complete,Acts 16:15-40,26
Complete,Acts 17:7-11,5
Complete,Acts 17:12-18,7
Complete,Acts 17:30-34,5
Complete,Acts 17:19-24,6
Complete,Acts 17:25-29,5
Complete,Acts 17:1-6,6
Complete,Acts 18:1-7,7
Complete,Acts 18:15-21,7
Complete,Acts 18:8-14,7
Complete,Acts 18:22-28,7
Complete,Acts 19:8-14,7
Complete,Acts 19:15-21,7
Complete,Acts 19:36-41,6
Complete,Acts 19:22-28,7
Complete,Acts 19:1-7,7
Complete,Acts 19:29-35,7
Complete,Acts 20:21-29,9
Complete,Acts 20:1-10,10
Complete,Acts 20:30-38,9
Complete,Acts 20:11-20,10
Complete,Acts 21:21-30,10
Complete,Acts 21:1-10,10
Complete,Acts 21:31-40,10
Complete,Acts 21:11-20,10
Complete,Acts 22:1-10,10
Complete,Acts 22:21-30,10
Complete,Acts 22:11-20,10
Complete,Acts 23:25-35,11
Complete,Acts 23:1-8,8
Complete,Acts 23:9-16,8
Complete,Acts 23:17-24,8
Complete,Acts 24:10-18,9
Complete,Acts 24:19-27,9
Complete,Acts 24:1-9,9
Complete,Acts 25:22-27,6
Complete,Acts 25:15-21,7
Complete,Acts 25:1-7,7
Complete,Acts 25:8-14,7
Complete,Acts 26:1-8,8
Complete,Acts 26:25-32,8
Complete,Acts 26:17-24,8
Complete,Acts 26:9-16,8
Complete,Acts 27:29-35,7
Complete,Acts 27:22-28,7
Complete,Acts 27:8-14,7
Complete,Acts 27:36-44,9
Complete,Acts 27:1-7,7
Complete,Acts 27:15-21,7
Complete,Acts 28:1-8,8
Complete,Acts 28:9-16,8
Complete,Acts 28:25-31,7
Complete,Acts 28:17-24,8
Phase 3 (POLISHING),Romans 1:17-32,16
Phase 3 (POLISHING),Romans 1:1-16,16
Phase 3 (POLISHING),Romans 2:22-29,8
Phase 3 (POLISHING),Romans 2:11-21,11
Phase 3 (POLISHING),Romans 2:1-10,10
