ProjectStatusDate,StatusDetail,ProjectName,VerseCount
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 1:18-25,8
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 1:1-17,17
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 2:16-23,8
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 2:1-15,15
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 3:1-17,17
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 4:12-25,14
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 4:1-11,11
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 5:1-20,20
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 5:21-48,28
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 6:16-34,19
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 6:1-15,15
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 7:15-29,15
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 7:1-14,14
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 8:1-17,17
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 8:18-34,17
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 9:18-38,21
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 9:1-17,17
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 10:1-24,24
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 10:25-42,18
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 11:1-19,19
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 11:20-30,11
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 12:22-50,29
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 12:1-21,21
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 13:1-23,23
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 13:24-58,35
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 14,36
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 15,39
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 16,28
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 17,27
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 18,35
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 19,30
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 20,34
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 21,46
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 22,46
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 23,39
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 24,51
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 25,46
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 26,75
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 27,66
"Jun 26, 2026, 12:00:00 AM",Complete,Matthew 28,20
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 1:1-13,13
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 1:29-45,17
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 1:14-28,15
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 2:1-17,17
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 2:18-28,11
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 3:20-35,16
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 3:1-19,19
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 4:21-41,21
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 4:1-20,20
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 5:1-20,20
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 5:21-43,23
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 6:14-29,16
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 6:30-56,27
"Jun 26, 2026, 12:00:00 AM",Complete,Mark 6:1-13,13
