StatusDetail,ProjectName,VerseCount
Previously Complete,Genesis 1,31
Previously Complete,Genesis 2,25
Previously Complete,Genesis 3,24
Previously Complete,Genesis 4,26
Previously Complete,Genesis 5,32
Previously Complete,Genesis 6,22
Previously Complete,Genesis 7,24
Previously Complete,Genesis 8,22
Previously Complete,Genesis 9,29
Previously Complete,Genesis 10,32
Previously Complete,Genesis 11,32
Previously Complete,Genesis 12,20
Previously Complete,Genesis 13,18
Previously Complete,Genesis 14,24
Previously Complete,Genesis 15,21
Previously Complete,Genesis 16,16
Previously Complete,Genesis 17,27
Previously Complete,Genesis 18,33
Previously Complete,Genesis 19,38
Previously Complete,Genesis 20,18
Previously Complete,Genesis 21,34
Previously Complete,Genesis 22,24
Previously Complete,Genesis 23,20
Previously Complete,Genesis 24,67
Previously Complete,Genesis 25,34
Previously Complete,Genesis 26,35
Previously Complete,Genesis 27,46
Previously Complete,Genesis 28,22
Previously Complete,Genesis 29,35
Previously Complete,Genesis 30,43
Previously Complete,Genesis 31,55
Previously Complete,Genesis 32,32
Previously Complete,Genesis 33,20
Previously Complete,Genesis 34,31
Previously Complete,Genesis 35,29
Previously Complete,Genesis 36,43
Previously Complete,Genesis 37,36
Previously Complete,Genesis 38,30
Previously Complete,Genesis 39,23
Previously Complete,Genesis 40,23
Previously Complete,Genesis 41,57
Previously Complete,Genesis 42,38
Previously Complete,Genesis 43,34
Previously Complete,Genesis 44,34
Previously Complete,Genesis 45,28
Previously Complete,Genesis 46,34
Previously Complete,Genesis 47,31
Previously Complete,Genesis 48,22
Previously Complete,Genesis 49,33
Previously Complete,Genesis 50,26
Holding,Exodus 1,22
Holding,Exodus 2,25
Holding,Exodus 3,22
Holding,Exodus 4,31
Holding,Exodus 5,23
Holding,Exodus 6,30
Holding,Exodus 7,25
Holding,Exodus 8,32
Holding,Exodus 9,35
Holding,Exodus 10,29
Holding,Exodus 11,10
Holding,Exodus 12,51
Holding,Exodus 13,22
Holding,Exodus 14,31
Holding,Exodus 15,27
Holding,Exodus 16,36
Holding,Exodus 17,16
Holding,Exodus 18,27
Holding,Exodus 19,25
Holding,Exodus 20,26
Phase 3 (POLISHING),Exodus 21,36
Phase 3 (POLISHING),Exodus 22,31
Phase 3 (POLISHING),Exodus 23,33
Phase 3 (POLISHING),Exodus 24:6-10,5
Phase 3 (POLISHING),Exodus 24:1-5,5
Phase 3 (POLISHING),Exodus 24:11-18,8
Phase 3 (POLISHING),Exodus 25:1-9,9
Phase 3 (POLISHING),Exodus 25:10-16,7
Phase 3 (POLISHING),Exodus 25:23-30,8
Phase 3 (POLISHING),Exodus 25:17-22,6
Phase 3 (POLISHING),Exodus 25:31-40,10
Phase 3 (POLISHING),Exodus 26:19-27,9
Phase 3 (POLISHING),Exodus 26:1-9,9
Phase 3 (POLISHING),Exodus 26:28-37,10
